post_id,title,author,created_utc,cleaned_text,keywords,image_text,doc_embedding,cluster
1hxdbm7,Genetic tweak weaponizes mosquito semen for population control,A***************,2025-01-09 13:56:45,Genetic tweak weaponizes mosquito semen for population control,"['genetic', ' tweak', ' weaponizes', ' mosquito', ' semen', ' population', ' control']",,"[-3.83673492e-03 -3.18896258e-03 -3.83704365e-03 -5.26971417e-03
 -7.16505689e-04 -5.97206829e-03  2.49102213e-05  3.33265890e-03
  1.14152569e-03 -6.90864807e-04 -2.81396578e-03 -3.70242255e-04
 -3.96775780e-03 -3.76030896e-03 -4.37440630e-03  2.21871119e-03
  7.21654797e-04 -6.10161864e-04 -2.27875262e-03  3.31536448e-03
 -1.40638222e-04  6.85596315e-04 -4.29049414e-03 -3.36255552e-03
  4.22238605e-03  6.62175298e-05 -2.76572397e-03 -3.34154512e-03
  2.20505963e-03 -3.07283551e-03  1.80155027e-03  7.20861426e-05
  3.24964058e-03  3.93685745e-03  4.51275986e-03  1.64556503e-03
 -1.83179928e-03 -5.71451243e-03 -3.61266267e-03 -2.88346526e-03
 -3.01300199e-03  4.14918596e-03  4.04015736e-04  2.85208458e-03
 -2.85125221e-03 -1.92423491e-03 -9.47668974e-04  1.04734430e-03
  9.38505225e-04  1.11175934e-03  2.27143569e-03  2.28927890e-03
  9.09003546e-04  1.17376412e-03 -2.81653646e-03  5.16696414e-03
  4.91975527e-03  3.77874123e-03 -5.85015677e-03  1.12414255e-03
 -1.27690006e-03  6.13308372e-03  1.59763556e-03 -3.45898559e-04
 -3.49716726e-03 -2.55774800e-03 -4.38490650e-03 -1.07894163e-03
  5.96573926e-04 -8.37335421e-04 -3.80243314e-03 -4.22093133e-03
 -4.27824818e-03  4.76111518e-03  1.87350169e-03  1.59680995e-03
  7.35964975e-04  9.34661239e-06 -5.37263788e-03  2.05198885e-04
 -2.07337667e-03 -3.18242959e-03 -8.76142003e-05  2.02323822e-03
 -1.24204357e-03 -2.10254639e-03  2.31104949e-03  5.64404577e-03
 -1.40728458e-04 -2.10691476e-03  2.88075214e-04  5.26396371e-03
 -1.36407456e-04 -1.58274057e-03  6.29514409e-03  1.93120458e-03
 -2.83458154e-03 -1.97499734e-03  3.54484562e-03  2.04335409e-03]",1
1hy2kav,"Prostate cancer is usually treated with surgery and radiation therapy, but these can have drastic side effects | A new clinical trial is exploring the safety and efficacy of killing the cancer cells with a blast of steam.",c********,2025-01-10 11:41:04,"Prostate cancer is usually treated with surgery and radiation therapy, but these can have drastic side effects A new clinical trial is exploring the safety and efficacy of killing the cancer cells with a blast of steam.","['prostate', ' cancer', ' usually', ' treated', ' surgery', ' radiation', ' therapy', ' drastic', ' side', ' effects', ' clinical', ' trial', ' exploring', ' safety', ' efficacy', ' killing', ' cells', ' blast', ' steam']",,"[-0.00421569  0.00429321  0.00130958  0.00097671  0.0018309  -0.00175449
  0.00179412  0.00707249 -0.00844803  0.00163065 -0.00302627 -0.00508673
 -0.0037346   0.00464111  0.00247187  0.00122452 -0.00213932 -0.00756569
 -0.00252913 -0.0003022   0.00603699 -0.00263324  0.0009221  -0.00218754
  0.0010473  -0.00267467 -0.00328604 -0.00687087  0.0030933  -0.00103342
 -0.00129863  0.00395402  0.00340304  0.00162697 -0.00034369  0.00322787
 -0.00512219  0.0003238  -0.00226775 -0.00482586 -0.00015382 -0.00257067
  0.00382759 -0.00242363  0.00318741  0.00323285  0.00523695  0.00104127
  0.00263265 -0.0029408  -0.00085362  0.00211754  0.00114314  0.00033644
  0.00093183  0.0001162   0.00173778  0.00363832  0.00143091 -0.00451107
  0.00704082  0.00297058  0.00380474  0.00110561 -0.00395697  0.00295518
 -0.00335629  0.00334027 -0.00634898 -0.0023735  -0.00531528 -0.00276364
  0.00434041 -0.00171822  0.0041486   0.00459085  0.00031582 -0.00233487
  0.00145303 -0.00187866  0.00096412  0.00371167 -0.00083942  0.00894822
 -0.00530968 -0.00201366 -0.00377147  0.00625861  0.00723993  0.00746863
  0.00049208  0.00271661  0.0003607   0.00558774  0.0045664   0.00010737
  0.00024165 -0.00687765  0.0054579  -0.00455427]",0
1hy4uyv,'Thermochromorph' art changes with the temperature,A***************,2025-01-10 13:53:01,'Thermochromorph' art changes with the temperature,"['thermochromorph', ' changes', ' temperature']",,"[-1.55542116e-03  1.13042467e-03 -3.56485927e-03 -5.35544613e-03
 -1.95555296e-03  4.65752237e-04  5.17486222e-03 -2.20174761e-03
 -5.53811388e-03  8.13402818e-04 -4.95084841e-03 -3.97354970e-03
 -8.70893826e-04 -2.20334368e-05 -4.61903680e-03  3.78666120e-03
 -4.41762106e-03 -4.62929811e-03 -4.84274328e-03  2.85144849e-03
  4.25505964e-03 -1.44427258e-03 -4.12339432e-04  2.69070338e-03
 -2.63355183e-03 -2.62084883e-03  9.21921630e-04 -2.49525020e-03
  2.51939008e-03  1.60512398e-04 -2.65867915e-03  1.32338726e-03
 -1.98018411e-03 -3.21949692e-03 -2.11938797e-03  5.36671747e-03
  3.42628127e-03  3.44485883e-03 -3.26142251e-03 -4.74249711e-03
  1.33507734e-03  3.28065653e-04 -1.08299346e-03 -2.44279392e-03
 -7.51674932e-04 -4.40650061e-03 -2.24827207e-03 -3.08852014e-03
  9.43251536e-04  1.43587356e-04  4.81594773e-03 -4.06667218e-03
  1.30771042e-03 -1.51253212e-03  1.24851207e-03 -1.24683196e-03
  8.93247954e-04 -3.84681206e-03  3.29231843e-03 -3.11586750e-03
  1.25919748e-03  5.44434646e-03  3.23357468e-04  1.08624529e-03
  3.75481485e-03 -9.30463895e-04  1.14568707e-03  2.71743746e-03
  2.48500728e-03 -4.39441530e-03  1.55404164e-03  1.27076125e-03
 -1.73164206e-03 -1.30953034e-03  1.96143822e-03 -2.08445149e-03
 -2.51030596e-03 -1.17325655e-03  2.89443135e-03 -4.87953750e-03
 -2.42132554e-03  3.71230301e-03  2.34587188e-03  2.03242456e-03
  1.48050109e-04  2.19096313e-03  2.61530490e-03  4.79885563e-03
 -1.94522203e-03  4.29426640e-04  2.94593722e-03 -1.57168764e-03
  1.76012574e-03 -3.88208078e-03  4.24558902e-03  5.50403539e-03
  1.80348812e-03 -2.13115523e-03  3.56849702e-03 -9.94532602e-05]",1
1hyvoqs,"Grain-sized soft robot delivers multiple medications, guided by magnetic fields",A***************,2025-01-11 13:18:24,"Grainsized soft robot delivers multiple medications, guided by magnetic fields","['grainsized', ' soft', ' robot', ' delivers', ' multiple', ' medications', ' guided', ' magnetic', ' fields']",,"[ 3.58092505e-03  5.27240243e-03  4.83262877e-04  2.99664633e-03
 -3.05617694e-03  3.73002957e-04 -2.04370706e-03  4.78486996e-03
  2.77237128e-03  2.94955005e-03 -4.19058511e-03 -4.72868979e-03
 -2.16830848e-03 -4.00721282e-03 -4.01929626e-03 -1.45494728e-03
  5.30260382e-03 -8.49230273e-04  3.39701702e-03 -3.50630027e-03
 -3.55685293e-03  3.59386252e-03  5.14593162e-03  5.96100930e-03
  2.84804322e-04 -1.87121122e-03  9.51590249e-04 -4.58578928e-04
 -5.52029116e-03 -5.75079524e-04 -1.19226973e-03  4.44335677e-03
  3.58002936e-03  5.73699223e-03  2.61288660e-04  5.33144455e-04
  1.32497726e-03 -5.18057961e-03 -5.02309576e-03 -1.99252437e-03
  2.33116164e-03  2.59869383e-03 -2.99135922e-03  2.61967513e-03
  2.99377763e-03  1.30407838e-03 -4.33061086e-03 -4.22938121e-03
 -1.24832673e-03 -3.00752756e-04 -2.75785686e-03  2.81430874e-03
  1.04569270e-04  5.13223093e-03 -4.62229783e-03  2.29862658e-03
  4.71104635e-03 -1.20271754e-03 -3.64175718e-03  2.29304307e-03
  4.86822892e-03  2.30924762e-03 -5.21853613e-03  5.79620944e-03
 -2.91463570e-03  2.92310212e-03  3.96749063e-04  3.22172954e-03
  1.40324200e-03 -1.35187188e-03 -6.13548886e-03  3.19670141e-03
  5.44909667e-03 -4.05053189e-03  2.76207109e-03  3.88170523e-03
 -2.91351811e-03  7.47151353e-05  1.25463936e-03  5.56753855e-03
 -1.04163156e-03  5.30904485e-03  2.47556879e-03  6.68678153e-03
  1.60110369e-03  3.44817224e-03  1.62197137e-03 -2.37148488e-03
 -2.49272212e-04  4.75792820e-03  3.13266413e-04  7.07627332e-04
  1.87934446e-03 -3.15383752e-03  7.16828648e-03  6.05074037e-03
 -2.40712473e-03 -1.47786702e-03 -2.84661748e-03  3.84726911e-03]",1
1hzcbqa,"Smart stitches generate electricity on movement for faster healing | Scientists in China have now turned that weakness into a strength, developing stitches that generate an electric charge when stretched and heal wounds faster. ",c********,2025-01-12 02:12:57,"Smart stitches generate electricity on movement for faster healing Scientists in China have now turned that weakness into a strength, developing stitches that generate an electric charge when stretched and heal wounds faster.","['smart', ' stitches', ' generate', ' electricity', ' movement', ' faster', ' healing', ' scientists', ' china', ' turned', ' weakness', ' strength', ' developing', ' electric', ' charge', ' stretched', ' heal', ' wounds']",,"[ 2.34682928e-03 -2.49277800e-03  1.48827705e-04  2.62832618e-03
 -6.24411798e-04 -3.36892996e-03  3.08510638e-03  4.37984336e-03
  4.37529015e-05 -1.82977109e-03 -3.63801047e-03 -8.31898861e-03
 -2.64836987e-03 -1.14235608e-03 -8.92469368e-04 -1.59777200e-03
  1.99052691e-03 -7.20274576e-04 -1.24987366e-03  1.34086015e-03
  1.44175498e-03 -2.77247792e-03 -1.77171445e-04  4.49410552e-04
  3.84842069e-03  4.12938651e-03 -9.10743512e-03  7.42889184e-04
  8.81790766e-04  3.39966355e-04  7.40104262e-03  2.11373391e-03
  4.95542213e-03  8.63006338e-03 -1.62337942e-03  5.76107716e-03
 -2.52940226e-03 -8.32874142e-03 -4.88934200e-03  3.28627555e-03
  4.63138940e-03  4.95549710e-03  2.62520276e-03 -3.89154558e-03
 -3.68936989e-03 -4.62206808e-05  5.12521015e-03  1.49227690e-03
  3.33013269e-03  6.34807069e-03  4.82017919e-03  1.79646269e-03
 -2.93944706e-03 -3.64884338e-03 -5.91104850e-03 -2.61298916e-03
 -2.00171233e-03 -3.87712475e-03 -2.53301836e-03  5.44772437e-03
  1.92668033e-03  7.07104243e-03  3.48442327e-03  5.61652612e-03
 -2.02909159e-03  9.91364592e-04 -3.14603653e-03  5.05503220e-03
 -6.18776400e-03  5.06500155e-03 -5.72474860e-03  4.38807532e-03
  4.57206508e-03  1.62031836e-04  9.64126259e-04 -2.64235702e-03
  3.71023780e-03 -3.21658263e-05  2.73077225e-04  2.75543588e-03
 -4.68697585e-03 -2.37219431e-03  1.70602067e-03  9.82745178e-03
 -5.80805470e-04 -2.13713804e-03 -6.99713652e-04  5.90484589e-04
  3.79699166e-03  5.49760554e-03  1.45503692e-03  4.90623817e-04
  3.18716746e-03 -7.09367800e-04  8.23831744e-03  4.27288469e-03
  4.61778557e-03 -7.94108957e-03  3.19562969e-03  1.06979592e-03]",0
1i0dc54,"""Functional cure"" for diabetes restores insulin production with stem cells | A patient with type 1 diabetes has been functionally cured of the disease. The treatment involves growing and transplanting new insulin-producing cells from the patient’s own stem cells.",c********,2025-01-13 12:57:27,Functional cure for diabetes restores insulin production with stem cells A patient with type 1 diabetes has been functionally cured of the disease. The treatment involves growing and transplanting new insulinproducing cells from the patients own stem cells.,"['functional', ' cure', ' diabetes', ' restores', ' insulin', ' production', ' stem', ' cells', ' patient', ' type', ' functionally', ' cured', ' disease', ' treatment', ' involves', ' growing', ' transplanting', ' insulinproducing', ' patients']",,"[ 2.21716566e-03  4.96094581e-03  2.22535105e-03 -3.83366854e-03
 -1.95037387e-03 -4.46831295e-03  2.77140783e-03  3.42895789e-03
 -5.49591193e-03 -7.87316065e-04 -3.61644919e-03  9.65745887e-04
 -1.49863202e-03  1.52866682e-03 -5.37730893e-03 -9.85198189e-04
  6.74396215e-05 -7.51871010e-03  2.26726406e-03  7.52185879e-04
  5.49142342e-03  4.72730579e-04  2.28339137e-04 -2.54292693e-03
 -2.51244823e-03 -2.82407179e-03 -4.52036411e-03 -2.41042371e-03
 -4.38541314e-03 -4.87179542e-03  5.07706963e-03  7.12471316e-03
  2.78606266e-03  4.95355157e-03 -1.16768689e-03  1.08429207e-03
 -7.25742895e-04 -6.56928518e-04  1.06595911e-03 -2.81710806e-03
  6.00910839e-03 -5.00246650e-03  1.09761453e-03 -9.66080057e-04
 -2.02671718e-03  3.78138013e-03  2.93357344e-03 -1.94178394e-03
  2.31427513e-03 -2.03585043e-03 -3.21403961e-03 -6.26272929e-04
  3.69826518e-03  2.71815178e-03 -5.58211375e-03 -1.55658973e-03
  3.93840577e-03  3.71402362e-03 -7.37831416e-03 -4.99472197e-04
  4.93379775e-03  7.57121714e-03 -4.49207984e-03 -3.34001379e-03
  2.58944463e-03 -2.51658866e-03 -1.26863539e-03 -4.08654613e-03
 -4.89811040e-03  9.69950750e-04 -2.48706387e-03 -4.92872612e-04
  4.60394978e-04  2.29621050e-03  7.63995049e-04  2.05664244e-03
  5.23207564e-05  1.33094480e-04 -4.35990887e-03  4.95412201e-03
 -3.13042384e-03  3.41945444e-03  1.58279494e-03  5.80872782e-03
 -4.33096150e-03  5.84744941e-03 -6.88620610e-03 -1.25061173e-03
 -2.39694910e-03 -3.88626271e-04 -2.05246476e-03  4.28632414e-03
  1.87455479e-03  5.47475135e-03  4.38565295e-03  5.81814256e-03
 -3.95928556e-03 -2.84327357e-03 -1.48944743e-03  4.66253888e-03]",0
1i0dty2,New filter captures and recycles aluminum from manufacturing waste,A***************,2025-01-13 13:23:32,New filter captures and recycles aluminum from manufacturing waste,"['filter', ' captures', ' recycles', ' aluminum', ' manufacturing', ' waste']",,"[ 3.97330662e-03 -1.47195751e-04  3.58888041e-03 -4.65267338e-03
 -1.62438315e-03 -4.86225355e-04 -1.96007057e-03  2.06452081e-04
  3.45798093e-04  3.31986323e-03 -2.12210417e-03  4.16816794e-04
  2.26211152e-03  4.35307669e-03  2.52145180e-03  1.44150783e-03
  2.72608106e-03  1.12464140e-05 -3.48570640e-03 -4.64507239e-03
 -1.14391907e-03 -3.10341152e-03 -9.19742393e-04 -3.53786070e-03
 -2.73911026e-03  6.26543537e-04  1.69066060e-03 -6.53514056e-04
 -2.42529879e-03 -7.76553585e-04  3.96800274e-03  1.27924886e-03
  2.76620616e-03  5.27708093e-03 -2.39304896e-03 -3.25033278e-03
 -4.17710189e-03  9.42364277e-04 -4.69196727e-03 -1.06663827e-03
  6.60272141e-04 -2.68643675e-03  1.08236063e-03 -2.67700804e-03
 -3.69354431e-03  1.69932202e-03  3.94527800e-03  3.87900602e-03
  2.40612030e-03  1.99850328e-04 -3.32657364e-03  3.09680682e-03
  2.54297489e-03 -3.99673707e-04 -5.87046612e-04 -4.57445346e-03
 -3.72000481e-03 -5.05841454e-04 -4.85342229e-03  2.42137327e-03
  2.04397296e-03  5.21348044e-03 -3.60027375e-03  4.62385407e-03
  1.48852984e-03 -2.08206451e-03 -1.27691869e-03 -3.29344557e-03
 -3.75696202e-03  1.24544592e-03  3.08909710e-03 -3.94128403e-03
 -7.01573619e-04  1.04207495e-04  6.13277499e-03 -1.86741399e-03
 -1.24344300e-03 -9.34055133e-04  3.06422007e-04  4.32173302e-03
 -5.29169850e-03 -2.44646845e-03 -3.58224032e-04  3.55598214e-03
  4.97848901e-04 -2.08846512e-04  3.15630855e-03  2.40817128e-04
  2.50079157e-03  2.26667849e-04 -4.40246984e-03 -3.87137523e-03
  3.12813907e-03  4.83859424e-03 -2.22794758e-03 -3.92967928e-03
  1.03749521e-03  2.00422108e-03 -3.81908356e-03 -1.68179465e-03]",1
1i0x6yc,"AI unveils strange chip designs, while discovering new functionalities",M**********,2025-01-14 03:43:19,"AI unveils strange chip designs, while discovering new functionalities","['unveils', ' strange', ' chip', ' designs', ' discovering', ' functionalities']",,"[-7.18910131e-04 -8.89105722e-04 -5.17663173e-03 -7.85641081e-04
  1.87629077e-03 -4.67446772e-03 -3.15476372e-03 -3.68389563e-04
 -5.32098487e-03 -3.97806102e-03  3.60807497e-03 -6.35555945e-04
  1.13643729e-03 -4.11406765e-03 -2.59264070e-03 -5.87846199e-03
  4.90783621e-03 -1.66388811e-03  4.15281765e-03 -3.77789303e-03
  3.70197766e-03  4.27244091e-03  2.23765103e-03 -2.79099564e-03
  5.77393081e-03  2.69755255e-03 -5.15009277e-03  2.75013410e-03
 -1.87886006e-03 -4.83728293e-03  5.03184740e-03  2.06254004e-03
  1.99758820e-03  5.66995749e-03 -3.82455438e-03 -2.82892026e-04
  4.31257254e-03 -2.05735932e-03 -3.24194110e-03  1.06184254e-03
 -2.77256686e-03 -1.77391665e-03  3.60268471e-03  1.19726348e-03
 -2.10797135e-03 -2.58788210e-03  2.47507705e-03  3.17763840e-03
  5.05447667e-03 -2.16680914e-04 -4.00038855e-03  4.36129002e-03
  3.72101553e-03 -3.65466159e-03  2.09170138e-03 -2.33060739e-04
  3.95479612e-04 -3.83881852e-04  2.48398026e-03  4.70945518e-03
  4.51878225e-03 -2.62331101e-03  1.56849879e-03 -9.16748613e-05
 -5.48589602e-03 -1.83582178e-03 -4.72597545e-03  2.02381774e-03
 -4.83550178e-03 -3.62270768e-03 -2.74151331e-04 -2.12859479e-03
  2.93954322e-03 -1.62598642e-03 -2.50149867e-03 -3.16555321e-04
 -1.18802011e-03 -2.85140099e-03 -3.13518965e-03  6.74781215e-04
 -4.06072568e-03 -1.65771984e-03  2.57295510e-03  4.60908236e-03
  2.64135306e-03  3.99175053e-03 -3.61446175e-03  2.93743936e-03
 -1.50468329e-03 -1.29396329e-03  2.27433024e-03  2.22832640e-03
  6.25689456e-04  4.40930529e-03  5.11267595e-03  1.20595424e-03
  4.90509486e-03  6.12788019e-04 -2.70666787e-03 -3.56916548e-03]",1
1i14jv5,Under-skin implant dispenses naloxone to prevent opioid overdose deaths | The iSOS (Implantable System for Opioid Safety) implant is being developed to automatically dispenses naloxone from within the body.,c********,2025-01-14 12:03:40,Underskin implant dispenses naloxone to prevent opioid overdose deaths The iSOS Implantable System for Opioid Safety implant is being developed to automatically dispenses naloxone from within the body.,"['underskin', ' implant', ' dispenses', ' naloxone', ' prevent', ' opioid', ' overdose', ' deaths', ' isos', ' implantable', ' system', ' safety', ' developed', ' automatically', ' within', ' body']",,"[ 2.13325024e-03  4.53329040e-03 -2.92454218e-03 -2.87564402e-03
 -2.34789666e-04 -5.66766271e-03 -3.06718564e-03 -6.65508735e-04
 -4.78775801e-05  4.54460923e-03 -5.13786450e-03 -7.35784275e-03
 -2.91626435e-03 -2.43878938e-04 -4.35149670e-03  2.45983829e-03
 -1.79407408e-03  9.70241148e-04  2.32045003e-03 -2.48140306e-03
  6.80544274e-03  1.61651976e-03  5.60099678e-03  3.27928830e-03
  1.24159968e-03  2.54140561e-03 -9.59896541e-04 -4.86452645e-03
 -3.53996526e-03 -4.54091793e-03  5.98804140e-03  5.80444466e-03
 -1.95989828e-03  1.92793284e-03  3.56590888e-03  3.77871707e-04
  3.92089551e-03 -4.81730700e-03  5.62103232e-04  2.11632869e-04
  2.48304731e-03 -3.92956939e-03  1.17541128e-03 -2.85862014e-03
 -4.10173601e-03  4.16257360e-04  3.86626809e-04 -3.85948760e-03
 -3.79529363e-03  5.71410591e-03 -1.19974418e-03  3.51231173e-03
  2.31917645e-03 -5.32753067e-04 -7.11761182e-03 -9.88774817e-04
 -1.09942141e-03  3.01182619e-03 -2.49184598e-03 -5.01884846e-03
  6.90875866e-04  7.41955778e-03  8.41883128e-04  4.78316622e-04
 -4.10659146e-03  6.60408381e-03 -5.22955088e-03  5.38457010e-04
 -6.65072259e-03  5.83647983e-03 -3.42102349e-03  2.30724900e-03
  3.38520086e-03  4.02258756e-03  7.87944533e-03  2.28979115e-05
 -2.35804031e-03  8.48579861e-04 -6.93687820e-04  5.26757957e-03
  1.99799030e-03  6.91177044e-03  1.77683553e-03  1.70181028e-03
 -1.57605187e-04  3.44887818e-03 -4.11100034e-03 -1.91207218e-03
  4.75092209e-04 -2.30866298e-03  2.91669439e-03  4.46608383e-03
 -1.75558811e-03  5.64607698e-03  1.35703478e-03  5.32492576e-03
  3.07998969e-04 -5.77033637e-03  5.65363467e-03  2.75051384e-03]",0
1i16708,Robotic sea turtle could soon be swimming in an ocean near you,A***************,2025-01-14 13:36:21,Robotic sea turtle could soon be swimming in an ocean near you,"['robotic', ' turtle', ' could', ' soon', ' swimming', ' ocean', ' near']",,"[-4.47751675e-03 -3.34857381e-03  9.41439706e-04 -4.55214409e-03
 -3.26144905e-03  4.37491544e-04  2.10716017e-03 -2.96374806e-03
 -5.90707734e-03 -8.18185435e-06 -4.83526196e-03 -3.37473699e-03
  4.52130614e-03  3.82349221e-03 -7.26034399e-04 -2.79371138e-03
  4.58724052e-03 -5.00660622e-03 -2.33583874e-03  2.25259713e-03
 -2.40261061e-03  4.34930960e-04  2.04209029e-03  2.06414913e-03
 -1.93898421e-04  1.13663962e-03 -6.07866736e-04  6.66825857e-04
  3.69329704e-03 -4.84428322e-03  4.19850834e-03  5.36825648e-03
  2.82414933e-03  3.79983976e-04  2.50445982e-03  1.57001417e-03
 -2.52542458e-03  2.48231296e-03  6.62416933e-05 -3.80861503e-03
  1.02982344e-03 -2.45656585e-03 -3.95496469e-03 -4.06162441e-03
 -2.82145734e-03 -5.13210725e-05  4.24666097e-03  3.36531922e-03
  3.26788076e-03 -3.68216704e-03  4.74420749e-03  4.24635597e-03
 -2.01979117e-03 -1.84228353e-03  2.74717039e-03  1.15704932e-03
  3.85754369e-03  9.51717157e-05 -2.58992356e-03 -4.53409413e-03
 -3.88865639e-03 -1.40112627e-03 -2.11073807e-03 -3.73545429e-03
 -4.65839077e-03 -2.94968695e-03 -1.12405419e-03 -2.20388873e-03
 -2.75825406e-03  7.44992052e-04 -2.62101577e-03  4.70145838e-03
  5.24990866e-03  9.21342464e-04  3.40671977e-03  1.83936185e-03
  3.17788473e-03  5.26580308e-03  1.26390706e-03 -1.33864162e-03
  2.28901557e-03  3.55515257e-03  1.86094118e-03  5.81203913e-03
 -4.05503437e-03 -1.58859475e-03 -2.76598358e-03  5.57361636e-04
 -4.66563273e-03 -1.48234563e-03  4.40525310e-03 -4.22102632e-03
 -2.34854408e-03  2.23050010e-03  4.66849841e-03  3.20033469e-05
  3.39056169e-05  3.53116821e-03 -3.12108267e-03  7.25993596e-04]",1
