,operator,well_name,latitude,longitude,API.1
0,CONTINENTAL RESOURCES,Atlanta 1-6H,"48°06'33.670""N","103°43'53.570""W",33-105-02732
1,CONTINENTAL RESOURCES,Atlanta 1-6H,"48°06'33.670""N","103°43'53.570""W",33-105-02732
2,CONTINENTAL RESOURCES,Atlanta 1-6H,"48°06'33.670""N","103°43'53.570""W",33-105-02732
3,CONTINENTAL RESOURCES,Atlanta 1-6H,"48°06'33.670""N","103°43'53.570""W",33-105-02732
4,INC.,Atlanta 1-6H,"48°06'33.670""N","103°43'53.570""W",33-105-02732
5,INC.,Atlanta 1-6H,"48°06'33.670""N","103°43'53.570""W",33-105-02732
6,INC.,Atlanta 1-6H,"48°06'33.670""N","103°43'53.570""W",33-105-02732
7,INC.,Atlanta 1-6H,"48°06'33.670""N","103°43'53.570""W",33-105-02732
8,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'56.960""W",33-105-02727
9,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'47.971""W",33-105-02727
10,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'47.971""W",33-105-02727
11,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'56.960""W",33-105-02727
12,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
13,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
14,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'56.960""W",33-105-02727
15,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
16,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
17,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
18,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
19,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
20,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
21,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
22,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
23,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
24,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
25,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
26,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
27,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
28,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
29,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
30,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
31,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
32,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
33,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
34,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
35,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
36,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
37,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
38,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
39,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
40,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
41,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
42,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
43,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
44,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
45,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
46,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
47,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
48,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
49,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
50,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
51,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
52,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
53,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
54,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
55,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
56,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
57,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
58,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
59,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
60,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
61,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
62,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
63,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
64,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
65,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
66,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
67,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
68,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
69,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
70,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
71,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
72,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
73,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
74,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
75,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
76,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
77,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
78,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
79,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
80,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
81,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
82,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
83,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
84,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
85,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
86,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
87,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
88,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
89,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'56.960""W",33-105-02727
90,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'47.971""W",33-105-02727
91,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'47.971""W",33-105-02727
92,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'56.960""W",33-105-02727
